age,storeys,score,latitude,longitude,graffiti,cladding,grounds,walkways
52,15,61,43.786495688,-79.194414059,4,2,3,3
14,13,66,43.65255869,-79.365341193,3,4,3,4
53,13,61,43.7812403712,-79.3008424612,4,3,2,2
53,12,60,43.7652223646,-79.5201417348,3,4,3,4
52,15,52,43.7543465007,-79.5161715175,2,3,3,3
54,11,71,43.768780728,-79.518663474,5,3,2,3
17,3,56,43.662770772,-79.35927116,4,3,3,3
75,3,56,43.66223715,-79.361553726,4,3,3,3
17,3,56,43.662405994,-79.360720129,3,3,3,3
53,3,65,43.753748768,-79.48953565,5,3,3,3
59,16,66,43.656446656,-79.365424701,4,4,4,4
50,4,72,43.6621159617,-79.35167947,4,4,3,4
34,5,77,43.6792629925,-79.3201512401,3,4,4,4
50,16,61,43.6555922823,-79.3695219097,3,3,3,3
185,3,59,43.6591658607,-79.3715926671,5,3,3,3
40,15,52,43.68924906,-79.4925042867,2,2,3,3
43,7,60,43.6586470985,-79.3706942093,3,3,3,3
43,6,68,43.810377963,-79.36147583,4,4,3,4
14,8,81,43.660308626,-79.363369137,5,5,4,4
75,6,51,43.661533685,-79.36404948,3,3,3,3
59,3,80,43.665548195,-79.425655665,4,3,4,5
13,10,74,43.660640531,-79.366069469,5,4,4,4
49,17,66,43.701879441,-79.441477074,5,3,3,4
46,16,60,43.706491429,-79.395574467,4,2,3,3
75,3,52,43.661707767,-79.36326298,2,4,3,2
49,10,76,43.768124338,-79.415525902,4,4,4,4
29,16,61,43.720003879,-79.603372534,4,3,3,3
56,6,58,43.6990884103,-79.5033968088,4,3,3,3
66,4,64,43.717910324,-79.443368577,4,3,3,4
66,4,59,43.7172142452,-79.4429757151,3,3,3,3
47,7,59,43.66260055,-79.365387025,2,3,3,3
58,7,59,43.7426293696,-79.2196525266,3,2,3,3
53,19,60,43.716053068,-79.505965893,3,3,3,3
53,19,61,43.7164211106,-79.5052233382,3,3,3,3
53,19,61,43.7164444337,-79.504365644,3,3,3,3
43,12,48,43.752566895,-79.518797427,2,3,3,3
32,5,83,43.807786956,-79.2188121812,5,4,5,5
30,13,89,43.8084247156,-79.2179866009,5,5,5,4
20,7,76,43.695812449,-79.4472340895,5,4,4,4
52,12,57,43.792308051,-79.35878168,3,2,3,3
52,13,51,43.7927282049,-79.3578376974,3,2,3,3
69,4,68,43.710473457,-79.391890313,3,3,4,4
67,4,73,43.6716543566,-79.3130970785,5,4,4,4
67,4,68,43.6725576536,-79.314197336,3,4,4,4
59,15,64,43.65586332,-79.366647156,3,3,4,4
59,16,67,43.655849077,-79.367907347,4,4,4,4
30,8,72,43.724294732,-79.493841391,5,4,3,3
33,5,77,43.7273367741,-79.4020576636,5,3,4,4
34,4,76,43.668341436,-79.402632539,5,4,3,4
15,4,77,43.660237712,-79.353034249,5,4,4,4
31,7,72,43.718503226,-79.429840681,5,3,3,4
51,20,54,43.762727716,-79.192829443,3,2,3,3
55,10,70,43.741102061,-79.241172366,4,2,3,3
66,4,71,43.7185648435,-79.4481425576,5,3,4,4
51,14,51,43.675646313,-79.569749625,3,2,2,3
66,4,64,43.720444621,-79.44680337,5,3,3,3
36,10,78,43.635725128,-79.399857548,5,4,3,3
54,14,72,43.674374989,-79.339480129,4,3,3,4
